0,1.86886845e-07,2.75980249e-10,3.60600344e-11,5.80424627e-13,4.13023899e-13,1.99504617e-14,,2.24109067e+00,3.30947189e-03,4.32421054e-04,6.96027702e-06,4.95285800e-06,2.39239918e-07
0.01,1.00683541e-07,1.32661565e-10,3.94580045e-11,4.29679815e-13,4.59080903e-13,1.37133991e-14,,1.20736666e+00,1.59083747e-03,4.73168487e-04,5.15259071e-06,5.50515969e-06,1.64446945e-07
0.02,6.22955392e-08,1.04131536e-10,4.17281999e-11,4.17367015e-13,4.95552985e-13,1.38940794e-14,,7.47029312e-01,1.24871396e-03,5.00391985e-04,5.00493934e-06,5.94252190e-06,1.66613608e-07
0.03,4.18412867e-08,7.72189456e-11,4.22649451e-11,3.94652173e-13,5.14430689e-13,1.40848853e-14,,5.01748087e-01,9.25986301e-04,5.06828472e-04,4.73254980e-06,6.16889762e-06,1.68901696e-07
0.04,2.89453812e-08,5.22964135e-11,4.14617602e-11,3.91450921e-13,5.21410155e-13,1.49791185e-14,,3.47104280e-01,6.27122814e-04,4.97196921e-04,4.69416135e-06,6.25259328e-06,1.79625071e-07
0.05,2.03310349e-08,4.20348003e-11,3.96601346e-11,3.83667977e-13,5.18401791e-13,1.46762723e-14,,2.43803637e-01,5.04068644e-04,4.75592369e-04,4.60083063e-06,6.21651789e-06,1.75993430e-07
0.06,1.44064241e-08,3.46791339e-11,3.70760949e-11,3.72748890e-13,5.08868662e-13,1.44569268e-14,,1.72757492e-01,4.15861711e-04,4.44605344e-04,4.46989224e-06,6.10219949e-06,1.73363105e-07
7.0000000000000007E-2,1.02714843e-08,2.49336352e-11,3.40014932e-11,3.32114295e-13,4.90655865e-13,1.29195753e-14,,1.23172542e-01,2.98996631e-04,4.07735649e-04,3.98261443e-06,5.88379711e-06,1.54927650e-07
0.08,7.34814460e-09,1.84703776e-11,3.06301520e-11,3.09007850e-13,4.68081051e-13,1.15003792e-14,,8.81167333e-02,2.21491196e-04,3.67307542e-04,3.70552891e-06,5.61308675e-06,1.37909078e-07
0.09,5.27074977e-09,1.35579898e-11,2.71566549e-11,2.66675841e-13,4.39258038e-13,1.17832390e-14,,6.32052412e-02,1.62583323e-04,3.25654414e-04,3.19789623e-06,5.26744987e-06,1.41301047e-07
0.1,3.78908340e-09,1.09493386e-11,2.37283933e-11,2.42321007e-13,4.10084617e-13,1.09988734e-14,,4.54375450e-02,1.31301166e-04,2.84543735e-04,2.90584041e-06,4.91761102e-06,1.31895172e-07
0.11,2.72870271e-09,8.45779167e-12,2.04755501e-11,2.11631284e-13,3.76796950e-13,9.97376014e-15,,3.27217797e-02,1.01423286e-04,2.45536619e-04,2.53781851e-06,4.51843535e-06,1.19602323e-07
0.12,1.96791334e-09,7.81601978e-12,1.74326600e-11,1.77490160e-13,3.43029106e-13,8.71473362e-15,,2.35986232e-02,9.37273513e-05,2.09047199e-04,2.12840846e-06,4.11350156e-06,1.04504457e-07
0.13,1.42081331e-09,5.08177697e-12,1.46907511e-11,1.69343971e-13,3.08628564e-13,8.04279359e-15,,1.70379646e-02,6.09391364e-05,1.76167056e-04,2.03072182e-06,3.70098063e-06,9.64467544e-08
0.14000000000000001,1.02634026e-09,3.87871488e-12,1.22446717e-11,1.46113521e-13,2.75986726e-13,7.15624337e-15,,1.23075628e-02,4.65123787e-05,1.46834409e-04,1.75214926e-06,3.30954956e-06,8.58155116e-08
0.15,7.42201085e-10,3.20375731e-12,1.01535284e-11,1.10134865e-13,2.45149693e-13,6.49461443e-15,,8.90025150e-03,3.84184911e-05,1.21758049e-04,1.32070407e-06,2.93976116e-06,7.78814570e-08
0.16,5.37671715e-10,2.28915657e-12,8.31593004e-12,1.05605220e-13,2.15739658e-13,5.79856936e-15,,6.44759700e-03,2.74508750e-05,9.97221243e-05,1.26638593e-06,2.58708489e-06,6.95346944e-08
0.17,3.89240168e-10,1.95351109e-12,6.77543116e-12,7.85712439e-14,1.87016941e-13,5.33680426e-15,,4.66765067e-03,2.34259157e-05,8.12489265e-05,9.42202653e-07,2.24265074e-06,6.39973467e-08
0.18,2.82136336e-10,1.37134511e-12,5.49625820e-12,7.17011729e-14,1.62609000e-13,5.20407792e-15,,3.38329383e-03,1.64447569e-05,6.59094702e-05,8.59818835e-07,1.94995808e-06,6.24057325e-08
0.19,2.04918863e-10,1.20513812e-12,4.41256557e-12,5.36171112e-14,1.39066021e-13,4.59422386e-15,,2.45732518e-03,1.44516527e-05,5.29141551e-05,6.42960222e-07,1.66763776e-06,5.50925466e-08
0.2,1.48611646e-10,7.88512028e-13,3.53428363e-12,4.48866226e-14,1.19401007e-13,3.67091502e-15,,1.78210603e-03,9.45559836e-06,4.23820631e-05,5.38266837e-07,1.43182086e-06,4.40205054e-08
0.21,1.07953860e-10,7.12373684e-13,2.81234434e-12,3.96155025e-14,1.00886320e-13,3.11995328e-15,,1.29455012e-03,8.54257031e-06,3.37247850e-05,4.75057155e-07,1.20979831e-06,3.74135385e-08
0.22,7.84459808e-11,5.02542255e-13,2.23449504e-12,3.21296168e-14,8.49698382e-14,2.68619271e-15,,9.40700536e-04,6.02633512e-06,2.67953905e-05,3.85288672e-07,1.01893267e-06,3.22120126e-08
0.23,5.70740777e-11,4.28091986e-13,1.75917906e-12,2.65444925e-14,7.13730180e-14,2.36041018e-15,,6.84415121e-04,5.13354995e-06,2.10955446e-05,3.18313546e-07,8.55883700e-07,2.83053268e-08
0.24,4.14591451e-11,3.26453664e-13,1.38783543e-12,2.32301050e-14,5.95727151e-14,1.90398599e-15,,4.97165561e-04,3.91473386e-06,1.66425038e-05,2.78568412e-07,7.14378028e-07,2.28320257e-08
