0.000, 1.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
0.010, -3.774219e+307, 9.778989e+305, -1.365356e+306, 2.020024e+307, -2.021300e+292, -6.741075e+291
0.020, -7.548439e+307, 1.955798e+306, -2.730713e+306, 4.040047e+307, -4.042599e+292, -1.348215e+292
0.030, -5.696913e+307, 1.445194e+306, -2.168354e+306, 2.457789e+307, -2.687231e+292, -9.658188e+291
0.040, 1.780358e+307, -5.539127e+305, 3.217198e+305, -2.726752e+307, 2.044805e+292, 4.730811e+291
0.050, 9.257629e+307, -2.553019e+306, 2.811793e+306, -7.911293e+307, 6.776842e+292, 1.911981e+292
0.060, 1.906417e+307, -5.826001e+305, 3.468182e+305, -5.203258e+306, 1.698104e+292, 1.373780e+292
0.070, -5.444794e+307, 1.387819e+306, -2.118157e+306, 6.870641e+307, -3.380634e+292, 8.355790e+291
0.080, -5.524353e+307, 1.410179e+306, -2.152912e+306, 5.794644e+307, -4.627393e+292, 1.659504e+292
0.090, 1.667741e+307, -5.155216e+305, 2.425517e+305, -3.748318e+307, -2.042173e+292, 3.845556e+292
0.100, 8.859835e+307, -2.441222e+306, 2.638016e+306, -1.329128e+308, 5.430469e+291, 6.031608e+292
0.110, 1.877490e+307, -5.704574e+305, 3.047413e+305, -1.642429e+307, -5.921263e+291, -2.927502e+291
0.120, -5.104854e+307, 1.300307e+306, -2.028533e+306, 1.000642e+308, -1.727299e+292, -6.617108e+292
0.130, -5.225044e+307, 1.331945e+306, -2.073415e+306,     -nan, -1.801715e+292, -8.313144e+292
0.140, 1.516922e+307, -4.755422e+305, 1.700961e+305,     -nan, -8.153721e+291, -5.380857e+292
0.150, 8.258888e+307, -2.283030e+306, 2.413607e+306,     -nan, 1.709704e+291, -2.448570e+292
0.160, 1.804550e+307, -5.538244e+305, 2.708624e+305,     -nan, 3.079635e+292, -1.236370e+292
0.170, -4.649787e+307, 1.175381e+306, -1.871882e+306,     -nan, 5.988299e+292, -2.416985e+290
0.180, -4.808169e+307, 1.216547e+306, -1.924148e+306,     -nan, 5.214924e+292, 3.251148e+291
0.190, 1.329406e+307, -4.303259e+305, 1.140659e+305,     -nan, 7.595083e+291, -1.885158e+291
0.200, 7.466980e+307, -2.077199e+306, 2.152280e+306,     -nan, -3.695907e+292, -7.021465e+291
0.210, 1.687538e+307, -5.281339e+305, 2.520202e+305,     -nan, -1.956976e+292, 1.211421e+292
0.220, -4.091903e+307, 1.020931e+306, -1.648239e+306,     -nan, -2.180444e+291, 3.124988e+292
0.230,      inf, 1.071587e+306, -1.705963e+306,     -nan, 5.049217e+291, 3.523630e+292
0.240,      inf, -3.761662e+305, 7.884938e+304,     -nan, 2.119227e+291, 2.407347e+292
0.250,     -nan, -1.823919e+306, 1.863662e+306,     -nan, -8.107636e+290, 1.291064e+292
0.260,     -nan, -4.896863e+305, 2.497300e+305,     -nan, 1.860915e+292, 2.085447e+292
0.270,     -nan, 8.445469e+305, -1.364202e+306,     -nan, 3.802906e+292, 2.879830e+292
0.280,     -nan, 9.041258e+305, -1.426338e+306,     -nan,     -nan,     -nan
0.290,     -nan, -3.109496e+305, 6.332010e+304,     -nan,     -nan,     -nan
0.300,     -nan, -1.526025e+306, 1.552979e+306,     -nan,     -nan,     -nan
0.310,     -nan, -4.367087e+305, 2.602661e+305,     -nan,     -nan,     -nan
0.320,     -nan, 6.526077e+305, -1.032446e+306,     -nan,     -nan,     -nan
0.330,     -nan, 7.199747e+305, -1.098791e+306,     -nan,     -nan,     -nan
0.340,     -nan, -2.346075e+305, 6.123347e+304,     -nan,     -nan,     -nan
0.350,     -nan, -1.189190e+306, 1.221258e+306,     -nan,     -nan,     -nan
0.360,     -nan, -3.696092e+305, 2.752684e+305,     -nan,     -nan,     -nan
0.370,     -nan, 4.499711e+305, -6.707207e+305,     -nan,     -nan,     -nan
0.380,     -nan, 5.234294e+305, -7.417400e+305,     -nan,     -nan,     -nan
0.390,     -nan, -1.492346e+305, 6.221073e+304,     -nan,     -nan,     -nan
0.400,     -nan, -8.218985e+305, 8.661614e+305,     -nan,     -nan,     -nan
0.410,     -nan, -2.910612e+305, 2.830085e+305,     -nan,     -nan,     -nan
0.420,     -nan, 2.397762e+305, -3.001444e+305,     -nan,     -nan,     -nan
0.430,     -nan, 3.171126e+305, -3.766488e+305,     -nan,     -nan,     -nan
0.440,     -nan, -5.905183e+304, 5.349525e+304,     -nan,     -nan,     -nan
0.450,     -nan, -4.352163e+305, 4.836393e+305,     -nan,     -nan,     -nan
0.460,     -nan, -2.058191e+305, 2.704445e+305,     -nan,     -nan,     -nan
0.470,     -nan, 2.357813e+304, 5.724965e+304,     -nan,     -nan,     -nan
0.480,     -nan, 1.022295e+305, -2.542379e+304,     -nan,     -nan,     -nan
0.490,     -nan, 3.013509e+304, 2.242416e+304,     -nan,     -nan,     -nan
0.500,     -nan, -4.195934e+304, 7.027211e+304,     -nan,     -nan,     -nan
0.510,     -nan, -1.198924e+305, 2.258571e+305,     -nan,     -nan,     -nan
0.520,     -nan, -1.978254e+305, 3.814421e+305,     -nan,     -nan,     -nan
0.530,     -nan, -1.204595e+305, 2.925509e+305,     -nan,     -nan,     -nan
0.540,     -nan, 1.122053e+305, -4.081641e+304,     -nan,     -nan,     -nan
0.550,     -nan, 3.448701e+305, -3.741838e+305,     -nan,     -nan,     -nan
0.560,     -nan, -3.904225e+304, 1.415200e+305,     -nan,     -nan,     -nan
0.570,     -nan, -4.229547e+305, 6.572237e+305,     -nan,     -nan,     -nan
0.580,     -nan, -3.491385e+305, 5.631164e+305,     -nan,     -nan,     -nan
0.590,     -nan, 1.824063e+305, -1.408021e+305,     -nan,     -nan,     -nan
0.600,     -nan, 7.139511e+305, -8.447206e+305,     -nan,     -nan,     -nan
0.610,     -nan, 3.286644e+304, 1.574672e+304,     -nan,     -nan,     -nan
0.620,     -nan, -6.482182e+305, 8.762141e+305,     -nan,     -nan,     -nan
0.630,     -nan, -5.796085e+305, 7.791542e+305,     -nan,     -nan,     -nan
0.640,     -nan, 2.386956e+305, -2.754329e+305,     -nan,     -nan,     -nan
0.650,     -nan, 1.057000e+306, -1.330020e+306,     -nan,     -nan,     -nan
0.660,     -nan, 9.485321e+304, -1.461742e+305,     -nan,     -nan,     -nan
0.670,     -nan, -8.672933e+305, 1.037672e+306,     -nan,     -nan,     -nan
0.680,     -nan, -8.049028e+305, 9.411466e+305,     -nan,     -nan,     -nan
0.690,     -nan, 2.820247e+305, -4.357493e+305,     -nan,     -nan,     -nan
0.700,     -nan, 1.368952e+306, -1.812645e+306,     -nan,     -nan,     -nan
0.710,     -inf, 1.485931e+305, -3.323205e+305,     -nan,     -nan,     -nan
0.720,     -inf, -1.071766e+306, 1.148004e+306,     -nan,     -nan,     -nan
0.730, 3.462109e+307, -1.016176e+306, 1.056455e+306,     -nan, 1.403224e+292, -8.296226e+291
0.740, -1.514280e+307, 3.153620e+305, -6.069672e+305,     -nan, 2.273234e+292, 1.063256e+292
0.750, -6.490668e+307, 1.646900e+306, -2.270390e+306,     -nan, 3.143245e+292, 2.956135e+292
0.760, -1.099449e+307, 1.970404e+305, -5.256023e+305,     -nan, 1.628004e+292, -5.598626e+290
0.770, 4.291771e+307, -1.252820e+306, 1.219185e+306,     -nan, 1.127629e+291, -3.068108e+292
0.780, 4.100297e+307, -1.204526e+306, 1.137570e+306,     -nan, -1.335304e+292, -3.593098e+292
0.790, -1.673871e+307, 3.419213e+305, -7.704491e+305,     -nan, -2.716197e+292, -1.630959e+292
0.800, -7.448040e+307, 1.888369e+306, -2.678468e+306,     -nan, -4.097090e+292, 3.311811e+291
0.810, -1.323494e+307, 2.425876e+305, -7.060153e+305,     -nan, 7.042865e+291, -1.314717e+291
0.820, 4.801051e+307, -1.403194e+306, 1.266437e+306,     -nan, 5.505662e+292, -5.941245e+291
0.830, 4.642714e+307, -1.362895e+306, 1.199697e+306,     -nan, 6.789324e+292, -1.069297e+292
0.840, -1.798505e+307, 3.634845e+305, -9.062363e+305,     -nan, 4.555271e+292, -1.556990e+292
0.850, -8.239724e+307, 2.089864e+306, -3.012170e+306,     -nan, 2.321218e+292, -2.044683e+292
0.860, -1.520807e+307, 2.856864e+305, -8.533035e+305,     -nan, 2.461156e+292, 2.407836e+291
0.870, 5.198110e+307, -1.518491e+306, 1.305563e+306,     -nan, 2.601094e+292, 2.526250e+292
0.880, 5.076304e+307, -1.487171e+306, 1.258068e+306, 9.969372e+307, 1.901272e+292, 2.549920e+292
0.890, -1.886227e+307, 3.796458e+305, -9.957869e+305, -1.635877e+307, 3.616881e+291, 3.117921e+291
0.900, -8.848758e+307, 2.246462e+306, -3.249642e+306, -1.324113e+308, -1.177895e+292, -1.926335e+292
0.910, -1.687560e+307, 3.245992e+305, -9.497003e+305, -3.726376e+307, 1.060518e+292, -1.184802e+292
0.920, 5.473637e+307, -1.597264e+306, 1.350241e+306, 5.788374e+307, 3.298932e+292, -4.432689e+291
0.930, 5.391063e+307, -1.576029e+306, 1.325267e+306, 6.865856e+307, 3.721670e+292, 7.926160e+290
0.940, -1.935282e+307, 3.883051e+305, -1.024622e+306, -4.939292e+306, 2.328734e+292, 3.827893e+291
0.950, -9.261628e+307, 2.352639e+306, -3.374512e+306, -7.853714e+307, 9.357970e+291, 6.863170e+291
0.960, -1.819984e+307, 3.563409e+305, -9.824680e+305, -2.676626e+307, 2.321608e+291, 9.307049e+291
0.970, 5.621660e+307, -1.639957e+306, 1.409576e+306, 2.500462e+307, -4.714754e+291, 1.175093e+292
0.980, 7.473986e+307, -2.110485e+306, 2.084478e+306, 4.071205e+307, -6.586349e+291, 1.037829e+292
0.990, 3.736993e+307, -1.055243e+306, 1.042239e+306, 2.035602e+307, -3.293174e+291, 5.189147e+291
1.000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
