0,1.15857000e-08,8.01620000e-11,1.15039000e-08,5.29498000e-11,1.13301000e-08,3.75105000e-11,,3.47330548e+00,2.40319630e-02,3.44878246e+00,1.58739507e-02,3.39667853e+00,1.12453650e-02,,1.20000000e+07
0.01,8.59373000e-09,3.41379000e-11,8.55058000e-09,3.77535000e-11,8.34024000e-09,3.86740000e-11,,2.57633544e+00,1.02342850e-02,2.56339940e+00,1.13182146e-02,2.50034105e+00,1.15941735e-02,,
0.02,7.26282000e-09,4.83906000e-11,7.22736000e-09,2.72653000e-11,6.97972000e-09,3.45737000e-11,,2.17733866e+00,1.45071369e-02,2.16670802e+00,8.17393131e-03,2.09246741e+00,1.03649345e-02,,
0.03,6.38393000e-09,3.76354000e-11,6.35512000e-09,1.44389000e-11,6.06955000e-09,2.78280000e-11,,1.91385407e+00,1.12828091e-02,1.90521705e+00,4.32867332e-03,1.81960531e+00,8.34262452e-03,,
0.04,5.71067000e-09,3.90368000e-11,5.64176000e-09,1.83548000e-11,5.35422000e-09,2.80771000e-11,,1.71201580e+00,1.17029382e-02,1.69135710e+00,5.50263061e-03,1.60515477e+00,8.41730282e-03,,
0.05,5.11110000e-09,2.29618000e-11,5.04989000e-09,2.37409000e-11,4.73840000e-09,1.35340000e-11,,1.53226923e+00,6.88377446e-03,1.51391894e+00,7.11734277e-03,1.42053658e+00,4.05739113e-03,,
0.06,4.59600000e-09,1.73063000e-11,4.53200000e-09,2.01023000e-11,4.20513000e-09,2.06177000e-11,,1.37784614e+00,5.18829822e-03,1.35865942e+00,6.02651793e-03,1.26066626e+00,6.18103096e-03,,
7.0000000000000007E-2,4.12137000e-09,2.07480000e-11,4.05793000e-09,2.33596000e-11,3.73274000e-09,2.04403000e-11,,1.23555564e+00,6.22009392e-03,1.21653681e+00,7.00303190e-03,1.11904730e+00,6.12784778e-03,,
0.08,3.70712000e-09,1.65904000e-11,3.65012000e-09,1.45037000e-11,3.31893000e-09,1.18675000e-11,,1.11136662e+00,4.97367680e-03,1.09427845e+00,4.34809987e-03,9.94990183e-01,3.55778700e-03,,
0.09,3.34823000e-09,1.24043000e-11,3.27624000e-09,1.35572000e-11,2.94540000e-09,1.06866000e-11,,1.00377410e+00,3.71871559e-03,9.82192043e-01,4.06434631e-03,8.83008706e-01,3.20376208e-03,,
0.1,3.01399000e-09,1.50561000e-11,2.94245000e-09,8.65222000e-12,2.62018000e-09,8.91168000e-12,,9.03571470e-01,4.51370523e-03,8.82124318e-01,2.59387030e-03,7.85510203e-01,2.67165445e-03,,
0.11,2.72025000e-09,1.34109000e-11,2.64690000e-09,1.29827000e-11,2.33784000e-09,1.06454000e-11,,8.15510434e-01,4.02048667e-03,7.93520657e-01,3.89211554e-03,7.00866800e-01,3.19141063e-03,,
0.12,2.43878000e-09,1.30896000e-11,2.38295000e-09,1.16805000e-11,2.07790000e-09,1.35339000e-11,,7.31127851e-01,3.92416336e-03,7.14390438e-01,3.50172581e-03,6.22938748e-01,4.05736115e-03,,
0.13,2.19971000e-09,1.35907000e-11,2.13398000e-09,1.00925000e-11,1.84676000e-09,4.26164000e-12,,6.59456468e-01,4.07438936e-03,6.39751110e-01,3.02565538e-03,5.53644720e-01,1.27760753e-03,,
