0.0,4.32969262,4.24473143,4.02750182
0.01,3.55397963,3.43625113,3.19302951
0.02,3.28038903,3.15495587,2.86188476
0.03,3.13669851,2.99093642,2.67369904
0.04,3.02901306,2.87473386,2.51909307
0.05,2.93819093,2.76569635,2.39220891
0.06,2.86379144,2.67607939,2.27904625
0.07,2.7771754,2.5862136,2.17724872
0.08,2.70403204,2.49534051,2.0738533
0.09,2.63312513,2.42439463,1.9837237
0.1,2.55664207,2.33764668,1.89693678
0.11,2.48577413,2.26399067,1.81101626
0.12,2.41531691,2.18520821,1.73209589
0.13,2.34189174,2.10935472,1.65095707
0.14,2.28409176,2.04296269,1.58572523
0.15,2.21562515,1.96562223,1.51071116
0.16,2.15295954,1.90179641,1.45673652
0.17,2.0854073,1.8342202,1.38894445
0.18,2.0325419,1.7757127,1.32586212
0.19,1.96052576,1.70996222,1.27240014
0.2,1.89498213,1.6488795,1.21752612
0.21,1.84385852,1.5864837,1.16881285
0.22,1.78861577,1.52940022,1.11582453
0.23,1.72432527,1.47238869,1.06972844
0.24,1.66792532,1.42023379,1.02557501
0.25,1.61704155,1.37000956,0.9833132659999999
0.26,1.56225747,1.31774674,0.9470833479999999
0.27,1.5143986,1.27029259,0.904782632
0.28,1.46618298,1.2204491,0.866037455
0.29,1.41197451,1.1750875,0.8307069140000001
0.3,1.36868448,1.13437869,0.7950166209999999
0.31,1.31482377,1.09293238,0.762129389
0.32,1.26391601,1.05182783,0.7317094479999999
0.33,1.22551559,1.01040851,0.69815068
0.34,1.19107544,0.969732668,0.673399815
0.35,1.14104907,0.937717831,0.6456630170000001
0.36,1.10729244,0.89629251,0.61889155
0.37,1.06448207,0.8644095820000001,0.595579689
0.38,1.02035862,0.831504362,0.569191957
0.39,0.991941293,0.801788933,0.544075344
0.4,0.955117786,0.7701638270000001,0.523911304
0.41,0.915593148,0.740832133,0.500662399
0.42,0.880367534,0.7087873170000001,0.481079955
0.43,0.8560573640000001,0.6871902679999999,0.464546401
0.44,0.826716676,0.6575347979999999,0.44337206
0.45,0.7899681159999999,0.6326370339999999,0.424371214
0.46,0.7607833209999999,0.609166283,0.407402961
0.47,0.734617435,0.584751185,0.391220164
0.48,0.706200108,0.561616201,0.375337159
0.49,0.6825165040000001,0.54075964,0.357997164
0.5,0.65355955,0.520295807,0.342911607
0.51,0.630976184,0.497817368,0.33223000199999997
0.52,0.603383286,0.47677493600000004,0.317228387
0.53,0.58059906,0.45824476399999997,0.307521108
0.54,0.56287533,0.439516729,0.290787592
0.55,0.537890626,0.424008465,0.27990422600000003
0.56,0.517231928,0.40590100100000004,0.268591558
0.57,0.49523315700000003,0.39141802700000006,0.259491658
0.58,0.47296757100000003,0.37525321799999994,0.247595893
0.59,0.46125767799999995,0.360791229,0.235895893
0.6,0.442208865,0.343978868,0.225479304
0.61,0.422341619,0.333066423,0.218333451
0.62,0.41039189200000004,0.318733345,0.207383232
0.63,0.386966109,0.3046431,0.199737625
0.64,0.37452472200000003,0.290437434,0.192574983
0.65,0.357433554,0.278391773,0.184004217
0.66,0.343166431,0.265908415,0.176695876
0.67,0.328716434,0.256524911,0.167712595
0.68,0.316041209,0.24551653199999998,0.160370977
0.69,0.302583526,0.235499867,0.154924948
0.7,0.28996676,0.22460421,0.147712541
0.71,0.276500083,0.21463760899999998,0.13981660699999998
0.72,0.268099898,0.20514588,0.134916799
0.73,0.25583329,0.195937455,0.127970908
0.74,0.243366721,0.188112572,0.1217709
0.75,0.231550101,0.179254305,0.11718737300000001
0.76,0.221400028,0.171291517,0.113350029
0.77,0.21194997,0.162033327,0.106662559
0.78,0.199791587,0.15503737,0.101116698
0.79,0.190525002,0.146445918,0.09610416849999999
0.8,0.178750054,0.140654227,0.0902998867
0.81,0.171333189,0.134454219,0.0861792394
0.82,0.162500104,0.12610829699999998,0.0826249
0.83,0.155541621,0.118287611,0.07824163440000001
0.84,0.147766803,0.11234992199999999,0.0735708679
0.85,0.138775128,0.10655823099999999,0.06958752559999999
0.86,0.12845837,0.098970784,0.0660415804
0.87,0.121575135,0.0952833367,0.061191538
0.88,0.116433395,0.0886998943,0.0579498821
0.89,0.10793337900000001,0.0820250153,0.0537291041
0.9,0.100566579,0.0776957124,0.0500791309
0.91,0.09283343279999999,0.07220411410000001,0.046150051
0.92,0.0853416192,0.0660748573,0.0427665933
0.93,0.0788250306,0.0608416802,0.0400459767
0.94,0.0721750343,0.0546374753,0.0363834123
0.95,0.0655751033,0.050179261600000004,0.032983466
0.96,0.0571248533,0.044787494299999994,0.0296458466
0.97,0.05152503,0.0396709364,0.0262916786
0.98,0.045750127800000005,0.0344500507,0.0221499859
0.99,0.0371167046,0.0284375031,0.0182416815
1.0,0.0319000161,0.024083347400000003,0.0161916707
