case,min,it,opticalDepth
2,25.25,31007,2
7,16.033333333333335,20025,4
12,10.333333333333334,12685,6
17,6.9,8438,8
22,3.55,4374,12
27,1.3666666666666667,1792,20
32,0.7,889,30
