case,min,it,opticalDepth
1,23.1,28390,2
6,12.316666666666666,16243,4
11,7.266666666666667,9576,6
16,4.966666666666667,6133,8
21,2.55,3082,12
26,1.0166666666666666,1256,20
31,0.5,641,30
