case,min,it,opticalDepth
3,27.883333333333333,34171,2
8,19.816666666666666,26188,4
13,15.45,18920,6
18,11.15,13680,8
23,6.283333333333333,7709,12
28,2.7,3296,20
33,1.3333333333333333,1615,30
