case,min,it,opticalDepth
5,31.05,38074,2
10,30.35,38074,4
15,31.016666666666666,38074,6
20,28.9,38074,8
25,31.766666666666666,38074,12
30,28.75,38074,20
35,31.066666666666666,38074,30
