case,min,it,opticalDepth
4,29.816666666666666,36675,2
9,25.033333333333335,33045,4
14,21.85,28390,6
19,19.283333333333335,23742,8
24,13.183333333333334,16243,12
29,6.55,8180,20
34,3.2333333333333334,4225,30
