case,sec,it
1,908,401
6,909,401
11,910,401
16,910,401
11,910,401
31,911,401
2,908,401
7,909,401
12,908,401
17,908,401
12,908,401
32,917,401
3,1017,449
8,1028,454
13,948,419
18,909,401
13,948,419
33,908,401
4,1242,548
9,1478,652
14,1569,692
19,1576,691
14,1569,692
34,907,401
5,1402,615
10,1923,843
15,2398,1058
20,2874,1268
15,2398,1058
35,7756,3404
