case,min,it,   opticalDepth
4,26.95,733,2
9,31.483333333333334,854,4
14,33.21666666666667,901,6
19,33.166666666666664,901,8
24,31.116666666666667,838,12
29,24.95,677,20
34,19.766666666666666,536,30
