case,min,it,   opticalDepth
5,29.833333333333332,810,2
10,39.916666666666664,1076,4
15,49.03333333333333,1330,6
20,58.1,1578,8
25,75.83333333333333,2066,12
30,110.55,3014,20
35,153.78333333333333,4150,30
