case,min,it,   opticalDepth
1,14.933333333333334,405,2
6,14.733333333333333,401,4
11,14.766666666666667,401,6
16,14.783333333333333,401,8
21,14.8,401,12
26,14.783333333333333,401,20
31,14.816666666666666,401,30
