0.000, 1.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
0.010, 1.059693e+00, 4.967754e-03, 4.490492e-04, 6.762216e-01, -1.011688e-17, -1.011688e-17
0.020, 8.740377e-01, 4.182836e-03, 3.794340e-04, 5.577598e-01, -8.347711e-18, -8.347711e-18
0.030, 7.238225e-01, 3.531886e-03, 3.214478e-04, 4.619092e-01, -6.915632e-18, -6.915632e-18
0.040, 5.970108e-01, 2.971641e-03, 2.713715e-04, 3.809907e-01, -5.706248e-18, -5.706248e-18
0.050, 4.944062e-01, 2.507470e-03, 2.297105e-04, 3.155176e-01, -4.727301e-18, -4.727301e-18
0.060, 4.077873e-01, 2.108274e-03, 1.937654e-04, 2.602442e-01, -3.900588e-18, -3.900588e-18
0.070, 3.377033e-01, 1.777832e-03, 1.638937e-04, 2.155212e-01, -3.231400e-18, -3.231400e-18
0.080, 2.785383e-01, 1.493842e-03, 1.381421e-04, 1.777654e-01, 1.121151e-17, 1.121151e-17
0.090, 2.306674e-01, 1.258958e-03, 1.167631e-04, 1.472163e-01, -2.208841e-18, -2.208841e-18
0.100, 1.902548e-01, 1.057222e-03, 9.834712e-05, 1.214263e-01, -1.822541e-18, -1.822541e-18
0.110, 1.575567e-01, 8.904975e-04, 8.307236e-05, 1.005590e-01, 5.429042e-18, -8.448746e-18
0.120, 1.299529e-01, 7.473865e-04, 6.992397e-05, 8.294265e-02, -1.245792e-18, -1.245792e-18
0.130, 1.076185e-01, 6.291974e-04, 5.902767e-05, 6.868880e-02, -1.032049e-18, -1.032049e-18
0.140, 8.876385e-02, 5.278035e-04, 4.965442e-05, 5.665555e-02, -8.515489e-19, -8.515489e-19
0.150, 7.350838e-02, 4.441226e-04, 4.189281e-05, 4.691916e-02, -7.644338e-18, -7.644338e-18
0.160, 6.062975e-02, 3.723702e-04, 3.522019e-05, 3.869960e-02, -5.820631e-19, -5.820631e-19
0.170, 5.020955e-02, 3.131894e-04, 2.969896e-05, 3.204896e-02, -4.821937e-19, -4.821937e-19
0.180, 4.141284e-02, 2.624691e-04, 2.495509e-05, 2.643443e-02, -3.978569e-19, -3.978569e-19
0.190, 3.429536e-02, 2.206599e-04, 2.103249e-05, 2.189159e-02, -3.295919e-19, -3.295919e-19
0.200, 2.828681e-02, 1.848439e-04, 1.766397e-05, 1.805647e-02, -2.719443e-19, -2.719443e-19
0.210, 2.342524e-02, 1.553367e-04, 1.488042e-05, 1.495340e-02, -2.252827e-19, -2.252827e-19
