case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMe1Normalized,absMa2Normalized,absMe2Normalized,absMa3Normalized,absMe3Normalized
25,12,1.926334e-02,1.127624e-03,6.456348e-04,4.446984e-03,1.138974e-03,5.361510e-04,3.487121e-01,6.884632e-02,3.153474e-02,5.524140e-02,1.275260e-02,1.637886e-02,1.654372e-02,2.047376e-02,1.700191e-02
26,20,1.195494e-02,3.024086e-05,1.817017e-07,2.266380e-03,1.770128e-06,2.316783e-07,3.563873e-02,1.513079e-05,6.685109e-07,3.354480e-01,6.359319e-02,1.998630e+00,1.169884e-01,2.718007e-01,3.465588e-01
27,20,1.373275e-02,6.783909e-05,4.838552e-07,2.417381e-03,1.228042e-05,1.819817e-06,5.126106e-02,1.513923e-04,8.441164e-06,2.678982e-01,4.715823e-02,4.481014e-01,8.111654e-02,5.732091e-02,2.155883e-01
28,20,1.535291e-02,2.013951e-04,5.207888e-06,2.771770e-03,5.580367e-05,9.321332e-06,8.774464e-02,1.091572e-03,9.946003e-05,1.749726e-01,3.158905e-02,1.845000e-01,5.112229e-02,5.236162e-02,9.371938e-02
29,20,1.481226e-02,4.945643e-04,4.051991e-05,3.590148e-03,2.538268e-04,5.488963e-05,1.630495e-01,7.759093e-03,1.462163e-03,9.084516e-02,2.201876e-02,6.373996e-02,3.271347e-02,2.771231e-02,3.754002e-02
30,20,1.140341e-02,7.630932e-04,6.963294e-04,5.617246e-03,1.303452e-03,5.020873e-04,3.515544e-01,7.437165e-02,3.179661e-02,3.243712e-02,1.597831e-02,1.026054e-02,1.752620e-02,2.189949e-02,1.579059e-02
31,30,5.420767e-03,1.229496e-06,3.634872e-09,2.281803e-03,3.539849e-07,1.243545e-08,1.871493e-02,1.822094e-06,2.347790e-08,2.896494e-01,1.219242e-01,6.747709e-01,1.942737e-01,1.548210e-01,5.296663e-01
32,30,7.026117e-03,3.659007e-06,4.931285e-08,2.504717e-03,2.898912e-06,1.207623e-07,2.830531e-02,2.156455e-05,3.631908e-07,2.482261e-01,8.848930e-02,1.696770e-01,1.344295e-01,1.357767e-01,3.325037e-01
33,30,9.047384e-03,2.422107e-05,3.339017e-07,2.960856e-03,1.803951e-05,9.749224e-07,5.368726e-02,2.208290e-04,7.295109e-06,1.685201e-01,5.515006e-02,1.096824e-01,8.168996e-02,4.577062e-02,1.336406e-01
34,30,9.409413e-03,1.290508e-04,4.692604e-06,3.838387e-03,1.285655e-04,1.355145e-05,1.181292e-01,2.701280e-03,2.648548e-04,7.965358e-02,3.249313e-02,4.777395e-02,4.759427e-02,1.771765e-02,5.116557e-02
35,30,5.811355e-03,1.023760e-03,6.751555e-04,6.540417e-03,1.354128e-03,4.773902e-04,3.631882e-01,7.686515e-02,3.148417e-02,1.600095e-02,1.800834e-02,1.331891e-02,1.761694e-02,2.144429e-02,1.516286e-02
