case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMe1Normalized,absMa2Normalized,absMe2Normalized,absMa3Normalized,absMe3Normalized
4,2,1.068101e-01,9.568373e-02,7.541384e-02,2.395806e-03,1.298440e-03,1.410416e-03,9.531884e-01,9.084179e-01,8.381370e-01,1.120556e-01,2.513465e-03,1.053301e-01,1.429342e-03,8.997794e-02,1.682799e-03
9,4,8.738667e-02,7.871433e-02,6.077469e-02,2.930572e-03,2.003618e-03,1.701493e-03,8.408514e-01,7.824419e-01,6.897925e-01,1.039264e-01,3.485244e-03,1.006009e-01,2.560724e-03,8.810577e-02,2.466673e-03
14,6,7.390705e-02,6.781887e-02,5.263894e-02,3.005546e-03,2.452739e-03,1.825193e-03,7.187039e-01,6.634940e-01,5.727695e-01,1.028338e-01,4.181898e-03,1.022147e-01,3.696701e-03,9.190248e-02,3.186609e-03
19,8,6.389859e-02,5.953306e-02,4.716851e-02,3.237893e-03,2.674639e-03,1.948291e-03,6.067802e-01,5.626258e-01,4.825006e-01,1.053076e-01,5.336187e-03,1.058129e-01,4.753850e-03,9.775845e-02,4.037905e-03
24,12,4.907945e-02,4.718679e-02,3.937450e-02,3.182866e-03,2.887087e-03,2.224390e-03,4.388893e-01,4.137683e-01,3.580356e-01,1.118265e-01,7.252092e-03,1.140416e-01,6.977546e-03,1.099737e-01,6.212763e-03
29,20,3.230090e-02,3.201822e-02,2.891224e-02,3.360781e-03,3.289551e-03,2.775793e-03,2.556332e-01,2.490968e-01,2.250446e-01,1.263564e-01,1.314689e-02,1.285372e-01,1.320591e-02,1.284734e-01,1.233441e-02
34,30,2.169222e-02,2.164593e-02,2.064641e-02,3.701035e-03,3.664463e-03,3.377502e-03,1.539072e-01,1.528212e-01,1.441306e-01,1.409435e-01,2.404719e-02,1.416422e-01,2.397876e-02,1.432479e-01,2.343362e-02
