case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMe1Normalized,absMa2Normalized,absMe2Normalized,absMa3Normalized,absMe3Normalized
1,2,2.729905e-02,3.836363e-03,1.035505e-03,9.815405e-03,2.419032e-03,1.853177e-03,1.486696e-01,1.640314e-02,7.078729e-03,1.836222e-01,6.602159e-02,2.338798e-01,1.474737e-01,1.462840e-01,2.617951e-01
6,4,2.601703e-02,2.233393e-03,4.407163e-04,7.170700e-03,1.407101e-03,7.509532e-04,1.055835e-01,8.320422e-03,2.829774e-03,2.464120e-01,6.791499e-02,2.684231e-01,1.691142e-01,1.557426e-01,2.653757e-01
11,6,2.356453e-02,1.159906e-03,1.407733e-04,5.306026e-03,8.650077e-04,3.198885e-04,8.034533e-02,4.523991e-03,1.200759e-03,2.932906e-01,6.604025e-02,2.563899e-01,1.912046e-01,1.172369e-01,2.664052e-01
16,8,2.090060e-02,5.765710e-04,3.779602e-05,3.977133e-03,5.477805e-04,1.411912e-04,6.359140e-02,2.581388e-03,5.328154e-04,3.286703e-01,6.254198e-02,2.233570e-01,2.122039e-01,7.093643e-02,2.649909e-01
21,12,1.609620e-02,1.241312e-04,8.881743e-06,2.397003e-03,2.292460e-04,2.950652e-05,4.265150e-02,9.167569e-04,1.150204e-04,3.773887e-01,5.619974e-02,1.354025e-01,2.500620e-01,7.721883e-02,2.565328e-01
26,20,9.624865e-03,1.238329e-05,1.276664e-06,1.504253e-03,4.351882e-05,1.539450e-06,2.218263e-02,1.429667e-04,6.646205e-06,4.338920e-01,6.781220e-02,8.661665e-02,3.043984e-01,1.920892e-01,2.316285e-01
31,30,5.541774e-03,4.365238e-06,5.755367e-08,1.452883e-03,5.852070e-06,4.893413e-08,1.129756e-02,1.733112e-05,2.350551e-07,4.905282e-01,1.286015e-01,2.518729e-01,3.376626e-01,2.448518e-01,2.081815e-01
